Sample;Timestamp;Drift;Drift Error;Offset;Offset Error
211;1.55629e+15;0.999996;7.47045e-05;-804.431;817.798
212;1.55629e+15;0.999996;7.47045e-05;-804.431;817.798
213;1.55629e+15;0.999996;7.47045e-05;-804.431;817.798
214;1.55629e+15;0.999996;7.4572e-05;-804.471;817.758
215;1.55629e+15;0.999995;7.41532e-05;-804.387;817.674
216;1.55629e+15;0.999995;7.41532e-05;-804.387;817.674
217;1.55629e+15;0.999996;7.15534e-05;-804.703;816.98
218;1.55629e+15;0.999996;7.15534e-05;-804.703;816.98
219;1.55629e+15;0.999996;7.15534e-05;-804.703;816.98
220;1.55629e+15;0.999996;7.15534e-05;-804.703;816.98
221;1.55629e+15;0.999996;7.15534e-05;-804.703;816.98
222;1.55629e+15;0.999995;7.01983e-05;-804.538;816.685
223;1.55629e+15;0.999995;7.01983e-05;-804.538;816.685
224;1.55629e+15;0.999995;7.01983e-05;-804.538;816.685
225;1.55629e+15;0.999995;7.01983e-05;-804.538;816.685
226;1.55629e+15;0.999995;7.01983e-05;-804.538;816.685
227;1.55629e+15;0.999995;7.01983e-05;-804.538;816.685
228;1.55629e+15;0.999996;6.93838e-05;-804.784;816.438
229;1.55629e+15;0.999996;6.93232e-05;-804.803;816.42
230;1.55629e+15;0.999994;6.76764e-05;-804.47;816.087
231;1.55629e+15;0.999994;6.76764e-05;-804.47;816.087
232;1.55629e+15;0.999995;6.70951e-05;-804.647;815.911
233;1.55629e+15;0.999995;6.67305e-05;-804.573;815.837
234;1.55629e+15;0.999995;6.67305e-05;-804.573;815.837
235;1.55629e+15;0.999995;6.62079e-05;-804.731;815.679
236;1.55629e+15;0.999995;6.62079e-05;-804.731;815.679
237;1.55629e+15;0.999995;6.62079e-05;-804.731;815.679
238;1.55629e+15;0.999995;6.62079e-05;-804.731;815.679
239;1.55629e+15;0.999995;6.60103e-05;-804.791;815.619
240;1.55629e+15;0.999995;6.54041e-05;-804.669;815.497
241;1.55629e+15;0.999995;6.49576e-05;-804.804;815.362
242;1.55629e+15;0.999996;6.38549e-05;-805.138;815.027
243;1.55629e+15;0.999996;6.38549e-05;-805.138;815.027
244;1.55629e+15;0.999996;6.38549e-05;-805.138;815.027
